Route 1						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
1	0	40	50	0	1236	0
95	10	65	82	285	336	90
93	20	67	85	368	441	90
94	40	65	85	475	518	90
Total Demand in Route	70					
						
Route 2						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
94	40	65	85	475	518	90
95	10	65	82	285	336	90
98	30	60	85	561	622	90
Total Demand in Route	80					
						
Route 3						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
94	40	65	85	475	518	90
98	30	60	85	561	622	90
1	0	40	50	0	1236	0
Total Demand in Route	70					
						
Route 4						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
96	30	62	80	196	239	90
93	20	67	85	368	441	90
98	30	60	85	561	622	90
Total Demand in Route	80					
						
Route 5						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
94	40	65	85	475	518	90
96	30	62	80	196	239	90
1	0	40	50	0	1236	0
Total Demand in Route	70					
						
Route 6						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
95	10	65	82	285	336	90
96	30	62	80	196	239	90
98	30	60	85	561	622	90
Total Demand in Route	70					
						
Route 7						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
1	0	40	50	0	1236	0
97	10	60	80	95	156	90
98	30	60	85	561	622	90
101	20	55	85	647	726	90
Total Demand in Route	60					
						
Route 8						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
94	40	65	85	475	518	90
97	10	60	80	95	156	90
93	20	67	85	368	441	90
1	0	40	50	0	1236	0
Total Demand in Route	70					
						
Route 9						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
101	20	55	85	647	726	90
95	10	65	82	285	336	90
97	10	60	80	95	156	90
96	30	62	80	196	239	90
Total Demand in Route	70					
						
Route 10						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
94	40	65	85	475	518	90
101	20	55	85	647	726	90
93	20	67	85	368	441	90
Total Demand in Route	80					
						
Route 11						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
1	0	40	50	0	1236	0
74	10	92	30	478	551	90
71	30	95	30	387	456	90
72	20	95	35	293	360	90
Total Demand in Route	60					
						
Route 12						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
100	10	55	80	743	820	90
97	10	60	80	95	156	90
101	20	55	85	647	726	90
96	30	62	80	196	239	90
Total Demand in Route	70					
						
Route 13						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
98	30	60	85	561	622	90
100	10	55	80	743	820	90
101	20	55	85	647	726	90
2	10	45	68	912	967	90
Total Demand in Route	70					
						
Route 14						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
94	40	65	85	475	518	90
100	10	55	80	743	820	90
93	20	67	85	368	441	90
Total Demand in Route	70					
						
Route 15						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
74	10	92	30	478	551	90
72	20	95	35	293	360	90
77	10	90	35	203	260	90
79	20	88	35	109	170	90
Total Demand in Route	60					
						
Route 16						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
99	20	58	75	30	84	90
95	10	65	82	285	336	90
100	10	55	80	743	820	90
96	30	62	80	196	239	90
Total Demand in Route	70					
						
Route 17						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
96	30	62	80	196	239	90
99	20	58	75	30	84	90
93	20	67	85	368	441	90
Total Demand in Route	70					
						
Route 18						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
94	40	65	85	475	518	90
99	20	58	75	30	84	90
97	10	60	80	95	156	90
Total Demand in Route	70					
						
Route 19						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
71	30	95	30	387	456	90
77	10	90	35	203	260	90
74	10	92	30	478	551	90
78	10	88	30	574	643	90
77	10	90	35	203	260	90
Total Demand in Route	70					
						
Route 20						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
72	20	95	35	293	360	90
79	20	88	35	109	170	90
71	30	95	30	387	456	90
Total Demand in Route	70					
						
Route 21						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
98	30	60	85	561	622	90
99	20	58	75	30	84	90
100	10	55	80	743	820	90
2	10	45	68	912	967	90
Total Demand in Route	70					
						
Route 22						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
80	10	87	30	668	731	90
72	20	95	35	293	360	90
78	10	88	30	574	643	90
71	30	95	30	387	456	90
Total Demand in Route	70					
						
Route 23						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
86	30	68	60	555	612	90
99	20	58	75	30	84	90
101	20	55	85	647	726	90
Total Demand in Route	70					
						
Route 24						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
71	30	95	30	387	456	90
80	10	87	30	668	731	90
74	10	92	30	478	551	90
79	20	88	35	109	170	90
Total Demand in Route	70					
						
Route 25						
Customer Index	Demand	X	Y	Ready Time	Due Time	Service Time
80	10	87	30	668	731	90
79	20	88	35	109	170	90
78	10	88	30	574	643	90
80	10	87	30	668	731	90
77	10	90	35	203	260	90
Total Demand in Route	60					
						
Route 26						
